INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,31/05/2018,00008500.00,CE      ,00002155.00,00002155.00,00002126.00,00002134.85,000000000371700,             2850,              038,              031,       30332163.75,        6107163.75
OPTIDX    ,NIFTY     ,31/05/2018,00008500.00,PE      ,00000001.30,00000001.40,00000001.00,00000001.10,000000000198075,             6150,              082,              043,       52282507.50,           7507.50
OPTIDX    ,NIFTY     ,31/05/2018,00008600.00,CE      ,00002061.00,00002063.00,00002025.00,00002037.95,000000000685350,             3600,              048,              043,       38322532.50,        7362532.50
OPTIDX    ,NIFTY     ,31/05/2018,00008600.00,PE      ,00000001.90,00000001.90,00000001.20,00000001.25,000000000146250,            12450,              166,              052,      107086447.50,          16447.50
OPTIDX    ,NIFTY     ,31/05/2018,00008700.00,CE      ,00001947.35,00001958.30,00001947.35,00001958.30,000000000028950,              300,              004,              004,        3195746.25,         585746.25
OPTIDX    ,NIFTY     ,31/05/2018,00008700.00,PE      ,00000001.40,00000001.60,00000001.40,00000001.55,000000000016275,              300,              004,              004,        2610453.75,            453.75
OPTIDX    ,NIFTY     ,31/05/2018,00008800.00,CE      ,00001838.00,00001838.00,00001838.00,00001838.00,000000000053775,              075,              001,              001,         797850.00,         137850.00
OPTIDX    ,NIFTY     ,31/05/2018,00008800.00,PE      ,00000001.45,00000001.45,00000001.45,00000001.45,000000000020100,              075,              001,              001,         660108.75,            108.75
OPTIDX    ,NIFTY     ,31/05/2018,00008900.00,PE      ,00000001.40,00000001.50,00000001.40,00000001.50,000000000026925,              375,              005,              002,        3338047.50,            547.50
OPTIDX    ,NIFTY     ,31/05/2018,00009000.00,CE      ,00001660.00,00001668.00,00001622.95,00001634.55,000000002093850,            42000,              560,              306,      446899020.00,       68899020.00
OPTIDX    ,NIFTY     ,31/05/2018,00009000.00,PE      ,00000001.60,00000001.70,00000001.55,00000001.60,000000001674300,           195600,             2608,              483,     1760713301.25,         313301.25
OPTIDX    ,NIFTY     ,31/05/2018,00009100.00,CE      ,00001541.15,00001541.15,00001541.15,00001541.15,000000000009450,              075,              001,              001,         798086.25,         115586.25
OPTIDX    ,NIFTY     ,31/05/2018,00009100.00,PE      ,00000000.35,00000002.45,00000000.35,00000002.40,000000000216600,            44100,              588,              076,      401412457.50,         102457.50
OPTIDX    ,NIFTY     ,31/05/2018,00009200.00,PE      ,00000003.15,00000003.15,00000002.65,00000002.80,000000000215175,            31275,              417,              301,      287822520.00,          92520.00
OPTIDX    ,NIFTY     ,31/05/2018,00009300.00,CE      ,00001358.35,00001362.95,00001332.30,00001346.15,000000000060600,              450,              006,              006,        4791997.50,         606997.50
